freeze OK t1=5ae1bdb0e71a all=0eeb421b90d4 engine={'engine_image': 'quantconnect/lean@sha256:dc84a683464681b2e6c9579bc7655e16d4802380367c77004e40a6a504088bd7', 'lean_cli': 'lean 1.0.227', 'git_rev': 'b11f5d122f97867cc5ed6d1c49ddee57e4628667'}
jobs=2367 workers=4
[124/2367] BANK2_BL-01c_SMA10__ref: cached
[125/2367] BANK2_BL-01c_SMA10__T_cross_-today__input_-adjust_warmup-strict: cached
[126/2367] BANK2_BL-01c_SMA10__T_cross_-both_d_input_-raw_warmup-strict: cached
[127/2367] BANK2_BL-01c_SMA10__T_cross_-today__input_-raw_warmup-strict: cached
[128/2367] BANK2_BL-01c_SMA10__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[129/2367] BANK2_BL-01c_SMA10__T_cross_-today__input_-adjust_warmup-ready_: cached
[130/2367] BANK2_BL-01c_SMA10__T_cross_-both_d_input_-raw_warmup-ready_: cached
[131/2367] BANK2_BL-01c_SMA10__T_cross_-today__input_-raw_warmup-ready_: cached
[132/2367] BANK2_BL-01c_SMA10__OAT_rsi_smoothing-simple: cached
[133/2367] BANK2_BL-01c_SMA10__OAT_rsi_exit-cross: cached
[134/2367] BANK2_BL-01c_SMA10__OAT_a_exec-set_holdings: cached
[135/2367] BANK2_BL-01c_SMA10__OAT_same_bar_reentry-wait_bar: cached
[136/2367] BANK2_BL-01c_SMA10__SPOT_all_excluded_off: cached
[137/2367] BANK2_BL-01c_SMA20__ref: cached
[138/2367] BANK2_BL-01c_SMA20__T_cross_-today__input_-adjust_warmup-strict: cached
[139/2367] BANK2_BL-01c_SMA20__T_cross_-both_d_input_-raw_warmup-strict: cached
[140/2367] BANK2_BL-01c_SMA20__T_cross_-today__input_-raw_warmup-strict: cached
[141/2367] BANK2_BL-01c_SMA20__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[142/2367] BANK2_BL-01c_SMA20__T_cross_-today__input_-adjust_warmup-ready_: cached
[143/2367] BANK2_BL-01c_SMA20__T_cross_-both_d_input_-raw_warmup-ready_: cached
[144/2367] BANK2_BL-01c_SMA20__T_cross_-today__input_-raw_warmup-ready_: cached
[145/2367] BANK2_BL-01c_SMA20__OAT_rsi_smoothing-simple: cached
[146/2367] BANK2_BL-01c_SMA20__OAT_rsi_exit-cross: cached
[147/2367] BANK2_BL-01c_SMA20__OAT_a_exec-set_holdings: cached
[148/2367] BANK2_BL-01c_SMA20__OAT_same_bar_reentry-wait_bar: cached
[149/2367] BANK2_BL-01c_SMA20__SPOT_all_excluded_off: cached
[150/2367] BANK2_BL-01c_SMA50__ref: cached
[151/2367] BANK2_BL-01c_SMA50__T_cross_-today__input_-adjust_warmup-strict: cached
[152/2367] BANK2_BL-01c_SMA50__T_cross_-both_d_input_-raw_warmup-strict: cached
[153/2367] BANK2_BL-01c_SMA50__T_cross_-today__input_-raw_warmup-strict: cached
[154/2367] BANK2_BL-01c_SMA50__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[155/2367] BANK2_BL-01c_SMA50__T_cross_-today__input_-adjust_warmup-ready_: cached
[156/2367] BANK2_BL-01c_SMA50__T_cross_-both_d_input_-raw_warmup-ready_: cached
[157/2367] BANK2_BL-01c_SMA50__T_cross_-today__input_-raw_warmup-ready_: cached
[158/2367] BANK2_BL-01c_SMA50__OAT_rsi_smoothing-simple: cached
[159/2367] BANK2_BL-01c_SMA50__OAT_rsi_exit-cross: cached
[160/2367] BANK2_BL-01c_SMA50__OAT_a_exec-set_holdings: cached
[161/2367] BANK2_BL-01c_SMA50__OAT_same_bar_reentry-wait_bar: cached
[162/2367] BANK2_BL-01c_SMA50__SPOT_all_excluded_off: cached
[163/2367] BANK2_BL-01c_SMA100__ref: cached
[164/2367] BANK2_BL-01c_SMA100__T_cross_-today__input_-adjust_warmup-strict: cached
[165/2367] BANK2_BL-01c_SMA100__T_cross_-both_d_input_-raw_warmup-strict: cached
[166/2367] BANK2_BL-01c_SMA100__T_cross_-today__input_-raw_warmup-strict: cached
[167/2367] BANK2_BL-01c_SMA100__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[168/2367] BANK2_BL-01c_SMA100__T_cross_-today__input_-adjust_warmup-ready_: cached
[169/2367] BANK2_BL-01c_SMA100__T_cross_-both_d_input_-raw_warmup-ready_: cached
[170/2367] BANK2_DONOR_pin__ref: ok fills=270 (34.6s)
[171/2367] BANK2_BL-01c_SMA100__OAT_rsi_smoothing-simple: cached
[172/2367] BANK2_BL-01c_SMA100__OAT_rsi_exit-cross: cached
[173/2367] BANK2_BL-01c_SMA100__OAT_a_exec-set_holdings: cached
[174/2367] BANK2_BL-01c_SMA100__OAT_same_bar_reentry-wait_bar: cached
[175/2367] BANK2_BL-01c_SMA100__SPOT_all_excluded_off: cached
[176/2367] BANK2_BL-01c_SMA200__ref: cached
[177/2367] BANK2_BL-01a_WMA__T_cross_-both_d_input_-raw_warmup-ready_: ok fills=300 (34.4s)
[178/2367] BANK2_BL-01c_SMA200__T_cross_-both_d_input_-raw_warmup-strict: cached
[179/2367] BANK2_BL-01c_SMA200__T_cross_-today__input_-raw_warmup-strict: cached
[180/2367] BANK2_BL-01c_SMA200__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[181/2367] BANK2_BL-01c_SMA200__T_cross_-today__input_-adjust_warmup-ready_: cached
[182/2367] BANK2_BL-01c_SMA200__T_cross_-both_d_input_-raw_warmup-ready_: cached
[183/2367] BANK2_BL-01c_SMA200__T_cross_-today__input_-raw_warmup-ready_: cached
[184/2367] BANK2_BL-01c_SMA200__OAT_rsi_smoothing-simple: cached
[185/2367] BANK2_BL-01c_SMA200__OAT_rsi_exit-cross: cached
[186/2367] BANK2_BL-01c_SMA200__OAT_a_exec-set_holdings: cached
[187/2367] BANK2_BL-01c_SMA200__OAT_same_bar_reentry-wait_bar: cached
[188/2367] BANK2_BL-01c_SMA200__SPOT_all_excluded_off: cached
[189/2367] BANK2_BL-01b_p50__T_cross_-today__input_-raw_warmup-strict: ok fills=341 (26.8s)
[190/2367] BANK2_BL-01c_EMA10__ref_wb-150: cached
[191/2367] BANK2_BL-01c_EMA10__ref_wb-200: cached
[192/2367] BANK2_BL-01c_EMA10__ref_wb-252: cached
[193/2367] BANK2_BL-01c_EMA10__T_cross_-today__input_-adjust_warmup-strict: cached
[194/2367] BANK2_BL-01c_EMA10__T_cross_-today__input_-adjust_warmup-strict_wb-150: cached
[195/2367] BANK2_BL-01c_EMA10__T_cross_-today__input_-adjust_warmup-strict_wb-200: cached
[196/2367] BANK2_BL-01c_SMA100__T_cross_-today__input_-raw_warmup-ready_: ok fills=274 (27.9s)
[197/2367] BANK2_BL-01c_EMA10__T_cross_-both_d_input_-raw_warmup-strict: cached
[198/2367] BANK2_BL-01c_EMA10__T_cross_-both_d_input_-raw_warmup-strict_wb-150: cached
[199/2367] BANK2_BL-01c_EMA10__T_cross_-both_d_input_-raw_warmup-strict_wb-200: cached
[200/2367] BANK2_BL-01c_EMA10__T_cross_-both_d_input_-raw_warmup-strict_wb-252: cached
[201/2367] BANK2_BL-01c_EMA10__T_cross_-today__input_-raw_warmup-strict: cached
[202/2367] BANK2_BL-01c_EMA10__T_cross_-today__input_-raw_warmup-strict_wb-150: cached
[203/2367] BANK2_BL-01c_EMA10__T_cross_-today__input_-raw_warmup-strict_wb-200: cached
[204/2367] BANK2_BL-01c_EMA10__T_cross_-today__input_-raw_warmup-strict_wb-252: cached
[205/2367] BANK2_BL-01c_EMA10__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[206/2367] BANK2_BL-01c_EMA10__T_cross_-today__input_-adjust_warmup-ready_: cached
[207/2367] BANK2_BL-01c_EMA10__T_cross_-both_d_input_-raw_warmup-ready_: cached
[208/2367] BANK2_BL-01c_EMA10__T_cross_-today__input_-raw_warmup-ready_: cached
[209/2367] BANK2_BL-01c_EMA10__OAT_rsi_smoothing-simple: cached
[210/2367] BANK2_BL-01c_EMA10__OAT_rsi_exit-cross: cached
[211/2367] BANK2_BL-01c_EMA10__OAT_a_exec-set_holdings: cached
[212/2367] BANK2_BL-01c_EMA10__OAT_same_bar_reentry-wait_bar: cached
[213/2367] BANK2_BL-01c_EMA10__SPOT_all_excluded_off: cached
[214/2367] BANK2_BL-01c_EMA20__ref: cached
[215/2367] BANK2_BL-01c_EMA20__ref_wb-150: cached
[216/2367] BANK2_BL-01c_EMA20__ref_wb-200: cached
[217/2367] BANK2_BL-01c_EMA20__ref_wb-252: cached
[218/2367] BANK2_BL-01c_EMA20__T_cross_-today__input_-adjust_warmup-strict: cached
[219/2367] BANK2_BL-01c_EMA20__T_cross_-today__input_-adjust_warmup-strict_wb-150: cached
[220/2367] BANK2_BL-01c_EMA20__T_cross_-today__input_-adjust_warmup-strict_wb-200: cached
[221/2367] BANK2_BL-01c_EMA20__T_cross_-today__input_-adjust_warmup-strict_wb-252: cached
[222/2367] BANK2_BL-01c_EMA20__T_cross_-both_d_input_-raw_warmup-strict: cached
[223/2367] BANK2_BL-01c_EMA20__T_cross_-both_d_input_-raw_warmup-strict_wb-150: cached
[224/2367] BANK2_BL-01c_EMA20__T_cross_-both_d_input_-raw_warmup-strict_wb-200: cached
[225/2367] BANK2_BL-01c_EMA20__T_cross_-both_d_input_-raw_warmup-strict_wb-252: cached
[226/2367] BANK2_BL-01c_EMA20__T_cross_-today__input_-raw_warmup-strict: cached
[227/2367] BANK2_BL-01c_EMA20__T_cross_-today__input_-raw_warmup-strict_wb-150: cached
[228/2367] BANK2_BL-01c_EMA20__T_cross_-today__input_-raw_warmup-strict_wb-200: cached
[229/2367] BANK2_BL-01c_EMA20__T_cross_-today__input_-raw_warmup-strict_wb-252: cached
[230/2367] BANK2_BL-01c_EMA20__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[231/2367] BANK2_BL-01c_EMA20__T_cross_-today__input_-adjust_warmup-ready_: cached
[232/2367] BANK2_BL-01c_EMA20__T_cross_-both_d_input_-raw_warmup-ready_: cached
[233/2367] BANK2_BL-01c_EMA20__T_cross_-today__input_-raw_warmup-ready_: cached
[234/2367] BANK2_BL-01c_EMA20__OAT_rsi_smoothing-simple: cached
[235/2367] BANK2_BL-01c_EMA20__OAT_rsi_exit-cross: cached
[236/2367] BANK2_BL-01c_EMA20__OAT_a_exec-set_holdings: cached
[237/2367] BANK2_BL-01c_EMA20__OAT_same_bar_reentry-wait_bar: cached
[238/2367] BANK2_BL-01c_EMA20__SPOT_all_excluded_off: cached
[239/2367] BANK2_BL-01c_EMA50__ref: cached
[240/2367] BANK2_BL-01c_EMA50__ref_wb-150: cached
[241/2367] BANK2_BL-01c_EMA50__ref_wb-200: cached
[242/2367] BANK2_BL-01c_EMA50__ref_wb-252: cached
[243/2367] BANK2_BL-01c_EMA50__T_cross_-today__input_-adjust_warmup-strict: cached
[244/2367] BANK2_BL-01c_EMA50__T_cross_-today__input_-adjust_warmup-strict_wb-150: cached
[245/2367] BANK2_BL-01c_EMA50__T_cross_-today__input_-adjust_warmup-strict_wb-200: cached
[246/2367] BANK2_BL-01c_EMA50__T_cross_-today__input_-adjust_warmup-strict_wb-252: cached
[247/2367] BANK2_BL-01c_EMA50__T_cross_-both_d_input_-raw_warmup-strict: cached
[248/2367] BANK2_BL-01c_EMA50__T_cross_-both_d_input_-raw_warmup-strict_wb-150: cached
[249/2367] BANK2_BL-01c_EMA50__T_cross_-both_d_input_-raw_warmup-strict_wb-200: cached
[250/2367] BANK2_BL-01c_EMA50__T_cross_-both_d_input_-raw_warmup-strict_wb-252: cached
[251/2367] BANK2_BL-01c_EMA50__T_cross_-today__input_-raw_warmup-strict: cached
[252/2367] BANK2_BL-01c_EMA50__T_cross_-today__input_-raw_warmup-strict_wb-150: cached
[253/2367] BANK2_BL-01c_EMA50__T_cross_-today__input_-raw_warmup-strict_wb-200: cached
[254/2367] BANK2_BL-01c_EMA50__T_cross_-today__input_-raw_warmup-strict_wb-252: cached
[255/2367] BANK2_BL-01c_EMA50__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[256/2367] BANK2_BL-01c_EMA10__ref: ok fills=660 (29.0s)
[257/2367] BANK2_BL-01c_EMA50__T_cross_-both_d_input_-raw_warmup-ready_: cached
[258/2367] BANK2_BL-01c_EMA50__T_cross_-today__input_-raw_warmup-ready_: cached
[259/2367] BANK2_BL-01c_EMA50__OAT_rsi_smoothing-simple: cached
[260/2367] BANK2_BL-01c_EMA50__OAT_rsi_exit-cross: cached
[261/2367] BANK2_BL-01c_EMA50__OAT_a_exec-set_holdings: cached
[262/2367] BANK2_BL-01c_EMA50__OAT_same_bar_reentry-wait_bar: cached
[263/2367] BANK2_BL-01c_EMA50__SPOT_all_excluded_off: cached
[264/2367] BANK2_BL-01c_EMA100__ref: cached
[265/2367] BANK2_BL-01c_EMA100__ref_wb-150: cached
[266/2367] BANK2_BL-01c_EMA100__ref_wb-200: cached
[267/2367] BANK2_BL-01c_EMA100__ref_wb-252: cached
[268/2367] BANK2_BL-01c_EMA100__T_cross_-today__input_-adjust_warmup-strict: cached
[269/2367] BANK2_BL-01c_EMA100__T_cross_-today__input_-adjust_warmup-strict_wb-150: cached
[270/2367] BANK2_BL-01c_EMA100__T_cross_-today__input_-adjust_warmup-strict_wb-200: cached
[271/2367] BANK2_BL-01c_EMA100__T_cross_-today__input_-adjust_warmup-strict_wb-252: cached
[272/2367] BANK2_BL-01c_EMA100__T_cross_-both_d_input_-raw_warmup-strict: cached
[273/2367] BANK2_BL-01c_EMA100__T_cross_-both_d_input_-raw_warmup-strict_wb-150: cached
[274/2367] BANK2_BL-01c_EMA100__T_cross_-both_d_input_-raw_warmup-strict_wb-200: cached
[275/2367] BANK2_BL-01c_EMA100__T_cross_-both_d_input_-raw_warmup-strict_wb-252: cached
[276/2367] BANK2_BL-01c_EMA100__T_cross_-today__input_-raw_warmup-strict: cached
[277/2367] BANK2_BL-01c_EMA100__T_cross_-today__input_-raw_warmup-strict_wb-150: cached
[278/2367] BANK2_BL-01c_EMA100__T_cross_-today__input_-raw_warmup-strict_wb-200: cached
[279/2367] BANK2_BL-01c_EMA100__T_cross_-today__input_-raw_warmup-strict_wb-252: cached
[280/2367] BANK2_BL-01c_EMA100__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[281/2367] BANK2_BL-01c_EMA100__T_cross_-today__input_-adjust_warmup-ready_: cached
[282/2367] BANK2_BL-01c_EMA100__T_cross_-both_d_input_-raw_warmup-ready_: cached
[283/2367] BANK2_BL-01c_EMA100__T_cross_-today__input_-raw_warmup-ready_: cached
[284/2367] BANK2_BL-01c_EMA100__OAT_rsi_smoothing-simple: cached
[285/2367] BANK2_BL-01c_SMA200__T_cross_-today__input_-adjust_warmup-strict: ok fills=660 (29.2s)
[286/2367] BANK2_BL-01c_EMA100__OAT_rsi_exit-cross: cached
[287/2367] BANK2_BL-01c_EMA100__OAT_a_exec-set_holdings: cached
[288/2367] BANK2_BL-01c_EMA100__OAT_same_bar_reentry-wait_bar: cached
[289/2367] BANK2_BL-01c_EMA100__SPOT_all_excluded_off: cached
[290/2367] BANK2_BL-01c_EMA200__ref: cached
[291/2367] BANK2_BL-01c_EMA200__ref_wb-150: cached
[292/2367] BANK2_BL-01c_EMA200__ref_wb-252: cached
[293/2367] BANK2_BL-01c_EMA200__ref_wb-200: cached
[294/2367] BANK2_BL-01c_EMA200__T_cross_-today__input_-adjust_warmup-strict: cached
[295/2367] BANK2_BL-01c_EMA200__T_cross_-today__input_-adjust_warmup-strict_wb-150: cached
[296/2367] BANK2_BL-01c_EMA200__T_cross_-today__input_-adjust_warmup-strict_wb-200: cached
[297/2367] BANK2_BL-01c_EMA200__T_cross_-today__input_-adjust_warmup-strict_wb-252: cached
[298/2367] BANK2_BL-01c_EMA200__T_cross_-both_d_input_-raw_warmup-strict: cached
[299/2367] BANK2_BL-01c_EMA200__T_cross_-both_d_input_-raw_warmup-strict_wb-150: cached
[300/2367] BANK2_BL-01c_EMA200__T_cross_-both_d_input_-raw_warmup-strict_wb-200: cached
[301/2367] BANK2_BL-01c_EMA200__T_cross_-both_d_input_-raw_warmup-strict_wb-252: cached
[302/2367] BANK2_BL-01c_EMA200__T_cross_-today__input_-raw_warmup-strict: cached
[303/2367] BANK2_BL-01c_EMA200__T_cross_-today__input_-raw_warmup-strict_wb-150: cached
[304/2367] BANK2_BL-01c_EMA200__T_cross_-today__input_-raw_warmup-strict_wb-200: cached
[305/2367] BANK2_BL-01c_EMA200__T_cross_-today__input_-raw_warmup-strict_wb-252: cached
[306/2367] BANK2_BL-01c_EMA200__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[307/2367] BANK2_BL-01c_EMA200__T_cross_-today__input_-adjust_warmup-ready_: cached
[308/2367] BANK2_BL-01c_EMA200__T_cross_-both_d_input_-raw_warmup-ready_: cached
[309/2367] BANK2_BL-01c_EMA200__T_cross_-today__input_-raw_warmup-ready_: cached
[310/2367] BANK2_BL-01c_EMA200__OAT_rsi_smoothing-simple: cached
[311/2367] BANK2_BL-01c_EMA200__OAT_rsi_exit-cross: cached
[312/2367] BANK2_BL-01c_EMA200__OAT_a_exec-set_holdings: cached
