freeze OK t1=5ae1bdb0e71a all=0eeb421b90d4 engine={'engine_image': 'quantconnect/lean@sha256:dc84a683464681b2e6c9579bc7655e16d4802380367c77004e40a6a504088bd7', 'lean_cli': 'lean 1.0.227', 'git_rev': 'b11f5d122f97867cc5ed6d1c49ddee57e4628667'}
jobs=2869 workers=6
[66/2869] BANK2_BL-01b_p10__T_cross_-both_d_input_-raw_warmup-ready_: cached
[67/2869] BANK2_BL-01b_p10__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[68/2869] BANK2_BL-01b_p10__T_cross_-today__input_-adjust_warmup-ready_: cached
[69/2869] BANK2_BL-01b_p10__T_cross_-today__input_-raw_warmup-ready_: cached
[70/2869] BANK2_BL-01b_p10__OAT_rsi_smoothing-simple: cached
[71/2869] BANK2_BL-01b_p10__OAT_rsi_exit-cross: cached
[72/2869] BANK2_BL-01b_p10__OAT_same_bar_reentry-wait_bar: cached
[73/2869] BANK2_BL-01b_p10__OAT_a_exec-set_holdings: cached
[74/2869] BANK2_BL-01b_p20__ref: cached
[75/2869] BANK2_BL-01b_p10__SPOT_all_excluded_off: cached
[76/2869] BANK2_BL-01b_p20__T_cross_-today__input_-adjust_warmup-strict: cached
[77/2869] BANK2_BL-01b_p20__T_cross_-both_d_input_-raw_warmup-strict: cached
[78/2869] BANK2_BL-01b_p20__T_cross_-today__input_-raw_warmup-strict: cached
[79/2869] BANK2_BL-01b_p20__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[80/2869] BANK2_BL-01b_p20__T_cross_-today__input_-adjust_warmup-ready_: cached
[81/2869] BANK2_BL-01b_p20__T_cross_-both_d_input_-raw_warmup-ready_: cached
[82/2869] BANK2_BL-01b_p20__T_cross_-today__input_-raw_warmup-ready_: cached
[83/2869] BANK2_BL-01b_p20__OAT_rsi_smoothing-simple: cached
[84/2869] BANK2_BL-01b_p20__OAT_rsi_exit-cross: cached
[85/2869] BANK2_BL-01b_p20__OAT_a_exec-set_holdings: cached
[86/2869] BANK2_BL-01b_p20__OAT_same_bar_reentry-wait_bar: cached
[87/2869] BANK2_BL-01b_p20__SPOT_all_excluded_off: cached
[88/2869] BANK2_BL-01b_p50__ref: cached
[89/2869] BANK2_BL-01b_p50__T_cross_-today__input_-adjust_warmup-strict: cached
[90/2869] BANK2_BL-01b_p50__T_cross_-today__input_-raw_warmup-strict: cached
[91/2869] BANK2_BL-01b_p50__T_cross_-both_d_input_-raw_warmup-strict: cached
[92/2869] BANK2_BL-01b_p50__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[93/2869] BANK2_BL-01b_p50__T_cross_-today__input_-adjust_warmup-ready_: cached
[94/2869] BANK2_BL-01b_p50__T_cross_-both_d_input_-raw_warmup-ready_: cached
[95/2869] BANK2_BL-01b_p50__T_cross_-today__input_-raw_warmup-ready_: cached
[96/2869] BANK2_BL-01b_p50__OAT_rsi_smoothing-simple: cached
[97/2869] BANK2_BL-01b_p50__OAT_rsi_exit-cross: cached
[98/2869] BANK2_BL-01b_p50__OAT_a_exec-set_holdings: cached
[99/2869] BANK2_BL-01b_p50__OAT_same_bar_reentry-wait_bar: cached
[100/2869] BANK2_BL-01b_p50__SPOT_all_excluded_off: cached
[101/2869] BANK2_BL-01b_p100__ref: cached
[102/2869] BANK2_BL-01b_p100__T_cross_-today__input_-adjust_warmup-strict: cached
[103/2869] BANK2_BL-01b_p100__T_cross_-today__input_-raw_warmup-strict: cached
[104/2869] BANK2_BL-01b_p100__T_cross_-both_d_input_-raw_warmup-strict: cached
[105/2869] BANK2_BL-01b_p100__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[106/2869] BANK2_BL-01b_p100__T_cross_-today__input_-adjust_warmup-ready_: cached
[107/2869] BANK2_BL-01b_p100__T_cross_-both_d_input_-raw_warmup-ready_: cached
[108/2869] BANK2_BL-01b_p100__T_cross_-today__input_-raw_warmup-ready_: cached
[109/2869] BANK2_BL-01b_p100__OAT_rsi_smoothing-simple: cached
[110/2869] BANK2_BL-01b_p100__OAT_rsi_exit-cross: cached
[111/2869] BANK2_BL-01b_p100__OAT_a_exec-set_holdings: cached
[112/2869] BANK2_BL-01b_p100__OAT_same_bar_reentry-wait_bar: cached
[113/2869] BANK2_BL-01b_p100__SPOT_all_excluded_off: cached
[114/2869] BANK2_BL-01b_p200__ref: cached
[115/2869] BANK2_BL-01b_p200__T_cross_-today__input_-adjust_warmup-strict: cached
[116/2869] BANK2_BL-01b_p200__T_cross_-both_d_input_-raw_warmup-strict: cached
[117/2869] BANK2_BL-01b_p200__T_cross_-today__input_-raw_warmup-strict: cached
[118/2869] BANK2_BL-01b_p200__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[119/2869] BANK2_BL-01b_p200__T_cross_-today__input_-adjust_warmup-ready_: cached
[120/2869] BANK2_BL-01b_p200__T_cross_-both_d_input_-raw_warmup-ready_: cached
[121/2869] BANK2_BL-01b_p200__T_cross_-today__input_-raw_warmup-ready_: cached
[122/2869] BANK2_BL-01b_p200__OAT_rsi_smoothing-simple: cached
[123/2869] BANK2_BL-01b_p200__OAT_rsi_exit-cross: cached
[124/2869] BANK2_BL-01b_p200__OAT_a_exec-set_holdings: cached
[125/2869] BANK2_BL-01b_p200__OAT_same_bar_reentry-wait_bar: cached
[126/2869] BANK2_BL-01b_p200__SPOT_all_excluded_off: cached
[127/2869] BANK2_BL-01c_SMA10__T_cross_-today__input_-adjust_warmup-strict: cached
[128/2869] BANK2_BL-01c_SMA10__ref: cached
[129/2869] BANK2_BL-01c_SMA10__T_cross_-both_d_input_-raw_warmup-strict: cached
[130/2869] BANK2_BL-01c_SMA10__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[131/2869] BANK2_BL-01c_SMA10__T_cross_-today__input_-raw_warmup-strict: cached
[132/2869] BANK2_BL-01c_SMA10__T_cross_-today__input_-adjust_warmup-ready_: cached
[133/2869] BANK2_BL-01c_SMA10__T_cross_-both_d_input_-raw_warmup-ready_: cached
[134/2869] BANK2_BL-01c_SMA10__T_cross_-today__input_-raw_warmup-ready_: cached
[135/2869] BANK2_BL-01c_SMA10__OAT_rsi_smoothing-simple: cached
[136/2869] BANK2_BL-01c_SMA10__OAT_rsi_exit-cross: cached
[137/2869] BANK2_BL-01c_SMA10__OAT_a_exec-set_holdings: cached
[138/2869] BANK2_BL-01c_SMA10__SPOT_all_excluded_off: cached
[139/2869] BANK2_BL-01c_SMA10__OAT_same_bar_reentry-wait_bar: cached
[140/2869] BANK2_BL-01c_SMA20__T_cross_-today__input_-raw_warmup-strict: cached
[141/2869] BANK2_BL-01c_SMA20__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[142/2869] BANK2_BL-01c_SMA20__T_cross_-today__input_-adjust_warmup-ready_: cached
[143/2869] BANK2_BL-01c_SMA20__T_cross_-today__input_-raw_warmup-ready_: cached
[144/2869] BANK2_BL-01c_SMA20__T_cross_-both_d_input_-raw_warmup-ready_: cached
[145/2869] BANK2_BL-01c_SMA20__OAT_rsi_smoothing-simple: cached
[146/2869] BANK2_BL-01c_SMA20__OAT_rsi_exit-cross: cached
[147/2869] BANK2_BL-01c_SMA20__OAT_a_exec-set_holdings: cached
[148/2869] BANK2_BL-01c_SMA20__SPOT_all_excluded_off: cached
[149/2869] BANK2_BL-01c_SMA20__OAT_same_bar_reentry-wait_bar: cached
[150/2869] BANK2_BL-01c_SMA50__ref: cached
[151/2869] BANK2_BL-01c_SMA50__T_cross_-today__input_-adjust_warmup-strict: cached
[152/2869] BANK2_BL-01c_SMA50__T_cross_-both_d_input_-raw_warmup-strict: cached
[153/2869] BANK2_BL-01c_SMA50__T_cross_-today__input_-raw_warmup-strict: cached
[154/2869] BANK2_BL-01c_SMA50__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[155/2869] BANK2_BL-01c_SMA50__T_cross_-both_d_input_-raw_warmup-ready_: cached
[156/2869] BANK2_BL-01c_SMA50__T_cross_-today__input_-adjust_warmup-ready_: cached
[157/2869] BANK2_BL-01c_SMA50__T_cross_-today__input_-raw_warmup-ready_: cached
[158/2869] BANK2_BL-01c_SMA50__OAT_rsi_smoothing-simple: cached
[159/2869] BANK2_BL-01c_SMA50__OAT_rsi_exit-cross: cached
[160/2869] BANK2_BL-01c_SMA50__OAT_a_exec-set_holdings: cached
[161/2869] BANK2_BL-01c_SMA50__OAT_same_bar_reentry-wait_bar: cached
[162/2869] BANK2_BL-01c_SMA50__SPOT_all_excluded_off: cached
[163/2869] BANK2_BL-01c_SMA100__ref: cached
[164/2869] BANK2_BL-01c_SMA100__T_cross_-today__input_-adjust_warmup-strict: cached
[165/2869] BANK2_BL-01c_SMA100__T_cross_-both_d_input_-raw_warmup-strict: cached
[166/2869] BANK2_BL-01c_SMA100__T_cross_-today__input_-raw_warmup-strict: cached
[167/2869] BANK2_BL-01c_SMA100__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[168/2869] BANK2_BL-01c_SMA100__T_cross_-today__input_-adjust_warmup-ready_: cached
[169/2869] BANK2_BL-01c_SMA100__T_cross_-both_d_input_-raw_warmup-ready_: cached
[170/2869] BANK2_BL-01c_SMA100__T_cross_-today__input_-raw_warmup-ready_: cached
[171/2869] BANK2_BL-01c_SMA100__OAT_rsi_exit-cross: cached
[172/2869] BANK2_BL-01c_SMA100__OAT_rsi_smoothing-simple: cached
[173/2869] BANK2_BL-01c_SMA100__OAT_a_exec-set_holdings: cached
[174/2869] BANK2_BL-01c_SMA100__OAT_same_bar_reentry-wait_bar: cached
[175/2869] BANK2_BL-01c_SMA200__ref: cached
[176/2869] BANK2_BL-01c_SMA100__SPOT_all_excluded_off: cached
[177/2869] BANK2_BL-01c_SMA200__T_cross_-both_d_input_-raw_warmup-strict: cached
[178/2869] BANK2_BL-01c_SMA200__T_cross_-today__input_-raw_warmup-strict: cached
[179/2869] BANK2_BL-01c_SMA200__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[180/2869] BANK2_BL-01c_SMA200__T_cross_-today__input_-adjust_warmup-ready_: cached
[181/2869] BANK2_BL-01c_SMA200__T_cross_-both_d_input_-raw_warmup-ready_: cached
[182/2869] BANK2_BL-01c_SMA200__T_cross_-today__input_-raw_warmup-ready_: cached
[183/2869] BANK2_BL-01c_SMA200__OAT_rsi_smoothing-simple: cached
[184/2869] BANK2_BL-01c_SMA200__OAT_rsi_exit-cross: cached
[185/2869] BANK2_BL-01c_SMA200__OAT_a_exec-set_holdings: cached
[186/2869] BANK2_BL-01c_SMA200__OAT_same_bar_reentry-wait_bar: cached
[187/2869] BANK2_BL-01c_SMA200__SPOT_all_excluded_off: cached
[188/2869] BANK2_BL-01c_EMA10__ref: cached
[189/2869] BANK2_BL-01c_EMA10__ref_wb-150: cached
[190/2869] BANK2_BL-01c_EMA10__ref_wb-200: cached
[191/2869] BANK2_BL-01c_EMA10__ref_wb-252: cached
[192/2869] BANK2_BL-01c_EMA10__T_cross_-today__input_-adjust_warmup-strict_wb-150: cached
[193/2869] BANK2_BL-01c_EMA10__T_cross_-today__input_-adjust_warmup-strict: cached
[194/2869] BANK2_BL-01c_EMA10__T_cross_-today__input_-adjust_warmup-strict_wb-200: cached
[195/2869] BANK2_BL-01c_EMA10__T_cross_-both_d_input_-raw_warmup-strict: cached
[196/2869] BANK2_BL-01c_EMA10__T_cross_-both_d_input_-raw_warmup-strict_wb-150: cached
[197/2869] BANK2_BL-01c_EMA10__T_cross_-both_d_input_-raw_warmup-strict_wb-200: cached
[198/2869] BANK2_BL-01c_EMA10__T_cross_-both_d_input_-raw_warmup-strict_wb-252: cached
[199/2869] BANK2_BL-01c_EMA10__T_cross_-today__input_-raw_warmup-strict: cached
[200/2869] BANK2_BL-01c_EMA10__T_cross_-today__input_-raw_warmup-strict_wb-150: cached
[201/2869] BANK2_BL-01c_EMA10__T_cross_-today__input_-raw_warmup-strict_wb-200: cached
[202/2869] BANK2_BL-01c_EMA10__T_cross_-today__input_-raw_warmup-strict_wb-252: cached
[203/2869] BANK2_BL-01c_EMA10__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[204/2869] BANK2_BL-01c_EMA10__T_cross_-today__input_-adjust_warmup-ready_: cached
[205/2869] BANK2_BL-01c_EMA10__T_cross_-both_d_input_-raw_warmup-ready_: cached
[206/2869] BANK2_BL-01c_EMA10__T_cross_-today__input_-raw_warmup-ready_: cached
[207/2869] BANK2_BL-01c_EMA10__OAT_rsi_smoothing-simple: cached
[208/2869] BANK2_BL-01c_EMA10__OAT_rsi_exit-cross: cached
[209/2869] BANK2_BL-01c_EMA10__OAT_a_exec-set_holdings: cached
[210/2869] BANK2_BL-01c_EMA10__OAT_same_bar_reentry-wait_bar: cached
[211/2869] BANK2_BL-01c_EMA10__SPOT_all_excluded_off: cached
[212/2869] BANK2_BL-01c_EMA20__ref: cached
[213/2869] BANK2_BL-01c_EMA20__ref_wb-150: cached
[214/2869] BANK2_BL-01c_EMA20__ref_wb-200: cached
[215/2869] BANK2_BL-01c_EMA20__ref_wb-252: cached
[216/2869] BANK2_BL-01c_EMA20__T_cross_-today__input_-adjust_warmup-strict: cached
[217/2869] BANK2_BL-01c_EMA20__T_cross_-today__input_-adjust_warmup-strict_wb-150: cached
[218/2869] BANK2_BL-01c_EMA20__T_cross_-today__input_-adjust_warmup-strict_wb-200: cached
[219/2869] BANK2_BL-01c_EMA20__T_cross_-today__input_-adjust_warmup-strict_wb-252: cached
[220/2869] BANK2_BL-01c_EMA20__T_cross_-both_d_input_-raw_warmup-strict: cached
[221/2869] BANK2_BL-01c_EMA20__T_cross_-both_d_input_-raw_warmup-strict_wb-150: cached
[222/2869] BANK2_BL-01c_EMA20__T_cross_-both_d_input_-raw_warmup-strict_wb-200: cached
[223/2869] BANK2_BL-01c_EMA20__T_cross_-both_d_input_-raw_warmup-strict_wb-252: cached
[224/2869] BANK2_BL-01c_EMA20__T_cross_-today__input_-raw_warmup-strict: cached
[225/2869] BANK2_BL-01c_EMA20__T_cross_-today__input_-raw_warmup-strict_wb-150: cached
[226/2869] BANK2_BL-01c_EMA20__T_cross_-today__input_-raw_warmup-strict_wb-200: cached
[227/2869] BANK2_BL-01c_EMA20__T_cross_-today__input_-raw_warmup-strict_wb-252: cached
[228/2869] BANK2_BL-01c_EMA20__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[229/2869] BANK2_BL-01c_EMA20__T_cross_-today__input_-adjust_warmup-ready_: cached
[230/2869] BANK2_BL-01c_EMA20__T_cross_-both_d_input_-raw_warmup-ready_: cached
[231/2869] BANK2_BL-01c_EMA20__T_cross_-today__input_-raw_warmup-ready_: cached
[232/2869] BANK2_BL-01c_EMA20__OAT_rsi_smoothing-simple: cached
[233/2869] BANK2_BL-01c_EMA20__OAT_rsi_exit-cross: cached
[234/2869] BANK2_BL-01c_EMA20__OAT_a_exec-set_holdings: cached
[235/2869] BANK2_BL-01c_EMA20__OAT_same_bar_reentry-wait_bar: cached
[236/2869] BANK2_BL-01c_EMA20__SPOT_all_excluded_off: cached
[237/2869] BANK2_BL-01c_EMA50__ref: cached
[238/2869] BANK2_BL-01c_EMA50__ref_wb-150: cached
[239/2869] BANK2_BL-01c_EMA50__ref_wb-200: cached
[240/2869] BANK2_BL-01c_EMA50__ref_wb-252: cached
[241/2869] BANK2_BL-01c_EMA50__T_cross_-today__input_-adjust_warmup-strict: cached
[242/2869] BANK2_BL-01c_EMA50__T_cross_-today__input_-adjust_warmup-strict_wb-150: cached
[243/2869] BANK2_BL-01c_EMA50__T_cross_-today__input_-adjust_warmup-strict_wb-200: cached
[244/2869] BANK2_BL-01c_EMA50__T_cross_-today__input_-adjust_warmup-strict_wb-252: cached
[245/2869] BANK2_BL-01c_EMA50__T_cross_-both_d_input_-raw_warmup-strict: cached
[246/2869] BANK2_BL-01c_EMA50__T_cross_-both_d_input_-raw_warmup-strict_wb-150: cached
[247/2869] BANK2_BL-01c_EMA50__T_cross_-both_d_input_-raw_warmup-strict_wb-200: cached
[248/2869] BANK2_BL-01c_EMA50__T_cross_-both_d_input_-raw_warmup-strict_wb-252: cached
[249/2869] BANK2_BL-01c_EMA50__T_cross_-today__input_-raw_warmup-strict: cached
[250/2869] BANK2_BL-01c_EMA50__T_cross_-today__input_-raw_warmup-strict_wb-150: cached
[251/2869] BANK2_BL-01c_EMA50__T_cross_-today__input_-raw_warmup-strict_wb-200: cached
[252/2869] BANK2_BL-01c_EMA50__T_cross_-today__input_-raw_warmup-strict_wb-252: cached
[253/2869] BANK2_BL-01c_EMA50__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[254/2869] BANK2_BL-01c_EMA50__T_cross_-today__input_-adjust_warmup-ready_: cached
[255/2869] BANK2_BL-01c_EMA50__T_cross_-both_d_input_-raw_warmup-ready_: cached
[256/2869] BANK2_BL-01c_EMA50__T_cross_-today__input_-raw_warmup-ready_: cached
[257/2869] BANK2_BL-01c_EMA50__OAT_rsi_smoothing-simple: cached
[258/2869] BANK2_BL-01c_EMA50__OAT_rsi_exit-cross: cached
[259/2869] BANK2_BL-01c_EMA50__OAT_a_exec-set_holdings: cached
[260/2869] BANK2_BL-01c_EMA50__OAT_same_bar_reentry-wait_bar: cached
[261/2869] BANK2_BL-01c_EMA50__SPOT_all_excluded_off: cached
[262/2869] BANK2_BL-01c_EMA100__ref: cached
[263/2869] BANK2_BL-01c_EMA100__ref_wb-150: cached
[264/2869] BANK2_BL-01c_EMA100__ref_wb-200: cached
[265/2869] BANK2_BL-01c_EMA100__ref_wb-252: cached
[266/2869] BANK2_BL-01c_EMA100__T_cross_-today__input_-adjust_warmup-strict: cached
[267/2869] BANK2_BL-01c_EMA100__T_cross_-today__input_-adjust_warmup-strict_wb-150: cached
[268/2869] BANK2_BL-01c_EMA100__T_cross_-today__input_-adjust_warmup-strict_wb-200: cached
[269/2869] BANK2_BL-01c_EMA100__T_cross_-today__input_-adjust_warmup-strict_wb-252: cached
[270/2869] BANK2_BL-01c_EMA100__T_cross_-both_d_input_-raw_warmup-strict: cached
[271/2869] BANK2_BL-01c_EMA100__T_cross_-both_d_input_-raw_warmup-strict_wb-150: cached
[272/2869] BANK2_BL-01c_EMA100__T_cross_-both_d_input_-raw_warmup-strict_wb-200: cached
[273/2869] BANK2_BL-01c_EMA100__T_cross_-both_d_input_-raw_warmup-strict_wb-252: cached
[274/2869] BANK2_BL-01c_EMA100__T_cross_-today__input_-raw_warmup-strict: cached
[275/2869] BANK2_BL-01c_EMA100__T_cross_-today__input_-raw_warmup-strict_wb-150: cached
[276/2869] BANK2_BL-01c_EMA100__T_cross_-today__input_-raw_warmup-strict_wb-200: cached
[277/2869] BANK2_BL-01c_EMA100__T_cross_-today__input_-raw_warmup-strict_wb-252: cached
[278/2869] BANK2_BL-01c_EMA100__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[279/2869] BANK2_BL-01c_EMA100__T_cross_-today__input_-adjust_warmup-ready_: cached
[280/2869] BANK2_BL-01c_EMA100__T_cross_-both_d_input_-raw_warmup-ready_: cached
[281/2869] BANK2_BL-01c_EMA100__T_cross_-today__input_-raw_warmup-ready_: cached
[282/2869] BANK2_BL-01c_EMA100__OAT_rsi_smoothing-simple: cached
[283/2869] BANK2_BL-01c_EMA100__OAT_rsi_exit-cross: cached
[284/2869] BANK2_BL-01c_EMA100__OAT_a_exec-set_holdings: cached
[285/2869] BANK2_BL-01c_EMA100__OAT_same_bar_reentry-wait_bar: cached
[286/2869] BANK2_BL-01c_EMA100__SPOT_all_excluded_off: cached
[287/2869] BANK2_BL-01c_EMA200__ref: cached
[288/2869] BANK2_BL-01c_EMA200__ref_wb-150: cached
[289/2869] BANK2_BL-01c_EMA200__ref_wb-200: cached
[290/2869] BANK2_BL-01c_EMA200__ref_wb-252: cached
[291/2869] BANK2_BL-01c_EMA200__T_cross_-today__input_-adjust_warmup-strict: cached
[292/2869] BANK2_BL-01c_EMA200__T_cross_-today__input_-adjust_warmup-strict_wb-150: cached
[293/2869] BANK2_BL-01c_EMA200__T_cross_-today__input_-adjust_warmup-strict_wb-200: cached
[294/2869] BANK2_BL-01c_EMA200__T_cross_-today__input_-adjust_warmup-strict_wb-252: cached
[295/2869] BANK2_BL-01c_EMA200__T_cross_-both_d_input_-raw_warmup-strict: cached
[296/2869] BANK2_BL-01c_EMA200__T_cross_-both_d_input_-raw_warmup-strict_wb-150: cached
[297/2869] BANK2_BL-01c_EMA200__T_cross_-both_d_input_-raw_warmup-strict_wb-200: cached
[298/2869] BANK2_BL-01c_EMA200__T_cross_-both_d_input_-raw_warmup-strict_wb-252: cached
[299/2869] BANK2_BL-01c_EMA200__T_cross_-today__input_-raw_warmup-strict: cached
[300/2869] BANK2_BL-01c_EMA200__T_cross_-today__input_-raw_warmup-strict_wb-150: cached
[301/2869] BANK2_BL-01c_EMA200__T_cross_-today__input_-raw_warmup-strict_wb-200: cached
[302/2869] BANK2_BL-01c_EMA200__T_cross_-today__input_-raw_warmup-strict_wb-252: cached
[303/2869] BANK2_BL-01c_EMA200__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[304/2869] BANK2_BL-01c_EMA200__T_cross_-today__input_-adjust_warmup-ready_: cached
[305/2869] BANK2_BL-01c_EMA200__T_cross_-both_d_input_-raw_warmup-ready_: cached
[306/2869] BANK2_BL-01c_EMA200__T_cross_-today__input_-raw_warmup-ready_: cached
[307/2869] BANK2_BL-01c_EMA200__OAT_rsi_smoothing-simple: cached
[308/2869] BANK2_BL-01c_EMA200__OAT_rsi_exit-cross: cached
[309/2869] BANK2_BL-01c_EMA200__OAT_a_exec-set_holdings: cached
[310/2869] BANK2_BL-01c_EMA200__OAT_same_bar_reentry-wait_bar: cached
[311/2869] BANK2_BL-01c_EMA200__SPOT_all_excluded_off: cached
[312/2869] BANK2_BL-01c_WMA10__ref: cached
[313/2869] BANK2_BL-01c_WMA10__T_cross_-today__input_-adjust_warmup-strict: cached
[314/2869] BANK2_BL-01c_WMA10__T_cross_-both_d_input_-raw_warmup-strict: cached
