=== grading cloud_BL-00_attempts1.collected
cloud_BL-01a_attempts1.collected #73: coded code=SMA
cloud_BL-01a_attempts1.collected #77: coded code=SMA
cloud_BL-01a_attempts1.collected #76: coded code=SMA
cloud_BL-01a_attempts1.collected #75: coded code=SMA
cloud_BL-01a_attempts1.collected #74: coded code=SMA
cloud_BL-01a_attempts1.collected #81: coded code=SMA
cloud_BL-01a_attempts1.collected #78: non-runnable code=None
cloud_BL-01a_attempts1.collected #79: no-program code=None
cloud_BL-01a_attempts1.collected #80: coded code=SMA
cloud_BL-01a_attempts1.collected #82: coded code=SMA
cloud_BL-01a_attempts1.collected #85: coded code=SMA
cloud_BL-01a_attempts1.collected #84: no-program code=None
cloud_BL-01a_attempts1.collected #83: coded code=SMA
cloud_BL-01a_attempts1.collected #91: coded code=SMA
cloud_BL-01a_attempts1.collected #88: coded code=SMA
cloud_BL-01a_attempts1.collected #94: coded code=SMA
cloud_BL-01a_attempts1.collected #96: coded code=SMA
cloud_BL-01a_attempts1.collected #97: coded code=SMA
cloud_BL-01a_attempts1.collected #98: no-program code=None
cloud_BL-01a_attempts1.collected #58: coded code=SMA
cloud_BL-01a_attempts1.collected #60: coded code=SMA
cloud_BL-01a_attempts1.collected #61: no-program code=None
cloud_BL-01a_attempts1.collected #99: coded code=SMA
cloud_BL-01a_attempts1.collected #55: coded code=SMA
cloud_BL-01a_attempts1.collected #54: coded code=SMA
cloud_BL-01a_attempts1.collected #59: coded code=SMA
cloud_BL-01a_attempts1.collected #57: coded code=SMA
cloud_BL-01a_attempts1.collected #56: coded code=SMA
cloud_BL-01a_attempts1.collected #86: coded code=SMA
cloud_BL-01a_attempts1.collected #93: coded code=SMA
cloud_BL-01a_attempts1.collected #92: coded code=SMA
cloud_BL-01a_attempts1.collected #89: coded code=SMA
cloud_BL-01a_attempts1.collected #90: coded code=SMA
cloud_BL-01a_attempts1.collected #87: coded code=SMA
cloud_BL-01a_attempts1.collected #95: coded code=SMA
GRADED cloud_BL-01a_attempts1.collected: +100 (total 100)
=== grading cloud_BL-01b_attempts1.collected
cloud_BL-01b_attempts1.collected #15: coded code=p20
cloud_BL-01b_attempts1.collected #6: coded code=p20
cloud_BL-01b_attempts1.collected #13: coded code=p20
cloud_BL-01b_attempts1.collected #0: coded code=p20
cloud_BL-01b_attempts1.collected #7: coded code=p20
cloud_BL-01b_attempts1.collected #18: coded code=p200
cloud_BL-01b_attempts1.collected #17: coded code=p20
cloud_BL-01b_attempts1.collected #8: coded code=p20
cloud_BL-01b_attempts1.collected #3: coded code=p20
cloud_BL-01b_attempts1.collected #12: coded code=p200
cloud_BL-01b_attempts1.collected #10: coded code=p20
cloud_BL-01b_attempts1.collected #5: coded code=p20
cloud_BL-01b_attempts1.collected #11: coded code=p20
cloud_BL-01b_attempts1.collected #14: coded code=p20
cloud_BL-01b_attempts1.collected #4: coded code=p20
cloud_BL-01b_attempts1.collected #9: coded code=p20
cloud_BL-01b_attempts1.collected #2: coded code=p20
cloud_BL-01b_attempts1.collected #19: coded code=p20
cloud_BL-01b_attempts1.collected #16: coded code=p20
cloud_BL-01b_attempts1.collected #1: coded code=p20
cloud_BL-01b_attempts1.collected #25: coded code=p20
cloud_BL-01b_attempts1.collected #26: coded code=p20
cloud_BL-01b_attempts1.collected #29: coded code=p20
cloud_BL-01b_attempts1.collected #30: coded code=p20
cloud_BL-01b_attempts1.collected #31: coded code=p20
cloud_BL-01b_attempts1.collected #24: coded code=p20
cloud_BL-01b_attempts1.collected #22: coded code=p20
cloud_BL-01b_attempts1.collected #21: non-runnable code=None
cloud_BL-01b_attempts1.collected #20: coded code=p20
cloud_BL-01b_attempts1.collected #28: non-runnable code=None
cloud_BL-01b_attempts1.collected #32: coded code=p20
cloud_BL-01b_attempts1.collected #27: coded code=other
cloud_BL-01b_attempts1.collected #36: non-runnable code=None
cloud_BL-01b_attempts1.collected #37: coded code=p20
cloud_BL-01b_attempts1.collected #34: no-program code=None
cloud_BL-01b_attempts1.collected #38: no-program code=None
cloud_BL-01b_attempts1.collected #33: no-program code=None
cloud_BL-01b_attempts1.collected #35: no-program code=None
cloud_BL-01b_attempts1.collected #23: coded code=p200
cloud_BL-01b_attempts1.collected #39: unresolved code=None
cloud_BL-01b_attempts1.collected #40: no-program code=None
cloud_BL-01b_attempts1.collected #58: coded code=p20
cloud_BL-01b_attempts1.collected #59: coded code=p20
cloud_BL-01b_attempts1.collected #60: coded code=p20
cloud_BL-01b_attempts1.collected #63: coded code=p20
cloud_BL-01b_attempts1.collected #61: coded code=p20
cloud_BL-01b_attempts1.collected #62: coded code=p20
cloud_BL-01b_attempts1.collected #69: non-runnable code=None
cloud_BL-01b_attempts1.collected #70: coded code=p20
cloud_BL-01b_attempts1.collected #93: coded code=p20
cloud_BL-01b_attempts1.collected #91: coded code=p20
cloud_BL-01b_attempts1.collected #94: no-program code=None
cloud_BL-01b_attempts1.collected #107: coded code=p20
cloud_BL-01b_attempts1.collected #109: coded code=p20
cloud_BL-01b_attempts1.collected #108: no-program code=None
cloud_BL-01b_attempts1.collected #134: non-runnable code=None
cloud_BL-01b_attempts1.collected #135: coded code=p20
cloud_BL-01b_attempts1.collected #136: coded code=p20
cloud_BL-01b_attempts1.collected #137: coded code=p20
cloud_BL-01b_attempts1.collected #141: coded code=p20
cloud_BL-01b_attempts1.collected #138: coded code=p20
cloud_BL-01b_attempts1.collected #139: no-program code=None
cloud_BL-01b_attempts1.collected #142: coded code=p20
cloud_BL-01b_attempts1.collected #143: coded code=p20
cloud_BL-01b_attempts1.collected #144: no-program code=None
cloud_BL-01b_attempts1.collected #99: unresolved code=None
cloud_BL-01b_attempts1.collected #73: coded code=p20
cloud_BL-01b_attempts1.collected #72: coded code=p20
cloud_BL-01b_attempts1.collected #98: no-program code=None
cloud_BL-01b_attempts1.collected #155: coded code=p20
cloud_BL-01b_attempts1.collected #154: unresolved code=None
cloud_BL-01b_attempts1.collected #157: no-program code=None
cloud_BL-01b_attempts1.collected #196: coded code=p20
cloud_BL-01b_attempts1.collected #197: coded code=p20
cloud_BL-01b_attempts1.collected #198: no-program code=None
cloud_BL-01b_attempts1.collected #200: non-runnable code=None
cloud_BL-01b_attempts1.collected #203: coded code=p20
cloud_BL-01b_attempts1.collected #199: coded code=p20
cloud_BL-01b_attempts1.collected #202: no-program code=None
cloud_BL-01b_attempts1.collected #236: coded code=p20
cloud_BL-01b_attempts1.collected #237: coded code=p20
cloud_BL-01b_attempts1.collected #235: coded code=p20
cloud_BL-01b_attempts1.collected #238: coded code=p20
cloud_BL-01b_attempts1.collected #166: coded code=p20
cloud_BL-01b_attempts1.collected #189: coded code=p20
cloud_BL-01b_attempts1.collected #187: no-program code=None
cloud_BL-01b_attempts1.collected #217: coded code=p20
cloud_BL-01b_attempts1.collected #215: coded code=p20
cloud_BL-01b_attempts1.collected #214: unresolved code=None
cloud_BL-01b_attempts1.collected #216: coded code=p20
cloud_BL-01b_attempts1.collected #218: coded code=p20
cloud_BL-01b_attempts1.collected #220: coded code=p20
cloud_BL-01b_attempts1.collected #222: coded code=p20
cloud_BL-01b_attempts1.collected #225: coded code=p20
cloud_BL-01b_attempts1.collected #227: no-program code=None
cloud_BL-01b_attempts1.collected #228: coded code=p20
cloud_BL-01b_attempts1.collected #229: coded code=p20
cloud_BL-01b_attempts1.collected #71: coded code=p20
cloud_BL-01b_attempts1.collected #76: coded code=p20
cloud_BL-01b_attempts1.collected #78: coded code=p20
cloud_BL-01b_attempts1.collected #79: coded code=p20
cloud_BL-01b_attempts1.collected #77: coded code=p20
cloud_BL-01b_attempts1.collected #80: coded code=p20
cloud_BL-01b_attempts1.collected #81: coded code=p20
cloud_BL-01b_attempts1.collected #83: coded code=p20
cloud_BL-01b_attempts1.collected #82: coded code=p20
cloud_BL-01b_attempts1.collected #85: no-program code=None
cloud_BL-01b_attempts1.collected #103: coded code=p20
cloud_BL-01b_attempts1.collected #104: no-program code=None
cloud_BL-01b_attempts1.collected #105: coded code=p20
cloud_BL-01b_attempts1.collected #111: coded code=p200
cloud_BL-01b_attempts1.collected #110: coded code=p20
cloud_BL-01b_attempts1.collected #106: coded code=p20
cloud_BL-01b_attempts1.collected #113: coded code=p20
cloud_BL-01b_attempts1.collected #112: coded code=p20
cloud_BL-01b_attempts1.collected #114: coded code=p20
cloud_BL-01b_attempts1.collected #116: coded code=p20
cloud_BL-01b_attempts1.collected #115: no-program code=None
cloud_BL-01b_attempts1.collected #147: no-program code=None
cloud_BL-01b_attempts1.collected #145: coded code=p20
cloud_BL-01b_attempts1.collected #46: coded code=p20
cloud_BL-01b_attempts1.collected #48: coded code=p20
cloud_BL-01b_attempts1.collected #162: coded code=p20
cloud_BL-01b_attempts1.collected #160: coded code=p20
cloud_BL-01b_attempts1.collected #161: coded code=p20
cloud_BL-01b_attempts1.collected #164: coded code=p20
cloud_BL-01b_attempts1.collected #163: no-program code=None
cloud_BL-01b_attempts1.collected #178: coded code=p20
cloud_BL-01b_attempts1.collected #179: coded code=p20
cloud_BL-01b_attempts1.collected #180: coded code=p20
cloud_BL-01b_attempts1.collected #181: no-program code=None
cloud_BL-01b_attempts1.collected #192: coded code=p20
cloud_BL-01b_attempts1.collected #191: coded code=p20
cloud_BL-01b_attempts1.collected #190: no-program code=None
cloud_BL-01b_attempts1.collected #193: unresolved code=None
cloud_BL-01b_attempts1.collected #194: coded code=p20
cloud_BL-01b_attempts1.collected #211: coded code=p20
cloud_BL-01b_attempts1.collected #212: coded code=p20
cloud_BL-01b_attempts1.collected #213: coded code=p20
cloud_BL-01b_attempts1.collected #207: no-program code=None
cloud_BL-01b_attempts1.collected #173: coded code=p20
cloud_BL-01b_attempts1.collected #41: no-program code=None
cloud_BL-01b_attempts1.collected #44: no-program code=None
cloud_BL-01b_attempts1.collected #52: coded code=p20
cloud_BL-01b_attempts1.collected #53: coded code=other
cloud_BL-01b_attempts1.collected #54: coded code=p20
cloud_BL-01b_attempts1.collected #56: coded code=p20
cloud_BL-01b_attempts1.collected #55: coded code=p20
cloud_BL-01b_attempts1.collected #57: coded code=p20
cloud_BL-01b_attempts1.collected #66: coded code=p20
cloud_BL-01b_attempts1.collected #65: coded code=p20
cloud_BL-01b_attempts1.collected #67: no-program code=None
cloud_BL-01b_attempts1.collected #64: coded code=p20
cloud_BL-01b_attempts1.collected #68: coded code=p20
cloud_BL-01b_attempts1.collected #84: coded code=p20
cloud_BL-01b_attempts1.collected #87: coded code=p20
cloud_BL-01b_attempts1.collected #86: coded code=p20
cloud_BL-01b_attempts1.collected #88: coded code=p20
cloud_BL-01b_attempts1.collected #89: coded code=p20
cloud_BL-01b_attempts1.collected #90: coded code=p20
cloud_BL-01b_attempts1.collected #92: coded code=p20
cloud_BL-01b_attempts1.collected #95: coded code=p20
cloud_BL-01b_attempts1.collected #96: coded code=p20
cloud_BL-01b_attempts1.collected #97: coded code=p20
cloud_BL-01b_attempts1.collected #100: no-program code=None
cloud_BL-01b_attempts1.collected #101: coded code=p20
cloud_BL-01b_attempts1.collected #102: coded code=p20
cloud_BL-01b_attempts1.collected #117: coded code=p20
cloud_BL-01b_attempts1.collected #118: coded code=p20
cloud_BL-01b_attempts1.collected #119: coded code=p20
cloud_BL-01b_attempts1.collected #121: coded code=p20
cloud_BL-01b_attempts1.collected #120: coded code=p20
cloud_BL-01b_attempts1.collected #122: unresolved code=None
cloud_BL-01b_attempts1.collected #123: coded code=p20
cloud_BL-01b_attempts1.collected #133: coded code=p20
cloud_BL-01b_attempts1.collected #140: coded code=p20
cloud_BL-01b_attempts1.collected #146: coded code=p20
cloud_BL-01b_attempts1.collected #47: coded code=p20
cloud_BL-01b_attempts1.collected #51: non-runnable code=None
cloud_BL-01b_attempts1.collected #49: coded code=p20
cloud_BL-01b_attempts1.collected #50: unresolved code=None
cloud_BL-01b_attempts1.collected #129: no-program code=None
cloud_BL-01b_attempts1.collected #126: coded code=p20
cloud_BL-01b_attempts1.collected #128: coded code=p20
cloud_BL-01b_attempts1.collected #130: non-runnable code=None
cloud_BL-01b_attempts1.collected #132: coded code=p20
cloud_BL-01b_attempts1.collected #149: coded code=p20
cloud_BL-01b_attempts1.collected #131: coded code=p20
cloud_BL-01b_attempts1.collected #148: coded code=p20
cloud_BL-01b_attempts1.collected #150: coded code=p20
cloud_BL-01b_attempts1.collected #152: coded code=p20
cloud_BL-01b_attempts1.collected #151: no-program code=None
cloud_BL-01b_attempts1.collected #204: coded code=p20
cloud_BL-01b_attempts1.collected #205: coded code=p20
cloud_BL-01b_attempts1.collected #201: non-runnable code=None
cloud_BL-01b_attempts1.collected #208: coded code=p20
cloud_BL-01b_attempts1.collected #230: coded code=p20
cloud_BL-01b_attempts1.collected #232: coded code=p20
cloud_BL-01b_attempts1.collected #234: coded code=p20
cloud_BL-01b_attempts1.collected #231: coded code=p20
cloud_BL-01b_attempts1.collected #233: coded code=p20
cloud_BL-01b_attempts1.collected #240: coded code=p20
cloud_BL-01b_attempts1.collected #239: coded code=p20
cloud_BL-01b_attempts1.collected #242: coded code=p20
cloud_BL-01b_attempts1.collected #245: coded code=p20
cloud_BL-01b_attempts1.collected #244: no-program code=None
cloud_BL-01b_attempts1.collected #248: coded code=p20
cloud_BL-01b_attempts1.collected #188: no-program code=None
cloud_BL-01b_attempts1.collected #186: coded code=p20
cloud_BL-01b_attempts1.collected #209: coded code=p20
cloud_BL-01b_attempts1.collected #210: unresolved code=None
cloud_BL-01b_attempts1.collected #206: coded code=p20
cloud_BL-01b_attempts1.collected #221: coded code=p20
cloud_BL-01b_attempts1.collected #219: coded code=p20
cloud_BL-01b_attempts1.collected #223: coded code=p20
cloud_BL-01b_attempts1.collected #224: coded code=p20
cloud_BL-01b_attempts1.collected #167: coded code=p20
cloud_BL-01b_attempts1.collected #168: coded code=p20
cloud_BL-01b_attempts1.collected #169: coded code=p20
cloud_BL-01b_attempts1.collected #172: no-program code=None
cloud_BL-01b_attempts1.collected #226: coded code=p20
cloud_BL-01b_attempts1.collected #170: coded code=p20
cloud_BL-01b_attempts1.collected #159: coded code=p20
cloud_BL-01b_attempts1.collected #165: coded code=p20
cloud_BL-01b_attempts1.collected #174: coded code=p20
cloud_BL-01b_attempts1.collected #177: coded code=p20
cloud_BL-01b_attempts1.collected #75: coded code=p20
cloud_BL-01b_attempts1.collected #74: coded code=p20
cloud_BL-01b_attempts1.collected #125: coded code=p20
cloud_BL-01b_attempts1.collected #42: coded code=p20
cloud_BL-01b_attempts1.collected #43: coded code=p20
cloud_BL-01b_attempts1.collected #45: no-program code=None
cloud_BL-01b_attempts1.collected #124: unresolved code=None
cloud_BL-01b_attempts1.collected #127: coded code=p20
cloud_BL-01b_attempts1.collected #153: coded code=p20
cloud_BL-01b_attempts1.collected #156: coded code=p20
cloud_BL-01b_attempts1.collected #158: coded code=p20
cloud_BL-01b_attempts1.collected #175: coded code=p20
cloud_BL-01b_attempts1.collected #176: non-runnable code=None
cloud_BL-01b_attempts1.collected #182: coded code=p20
cloud_BL-01b_attempts1.collected #183: non-runnable code=None
cloud_BL-01b_attempts1.collected #185: coded code=p20
cloud_BL-01b_attempts1.collected #184: unresolved code=None
cloud_BL-01b_attempts1.collected #195: no-program code=None
cloud_BL-01b_attempts1.collected #241: coded code=p20
cloud_BL-01b_attempts1.collected #243: no-program code=None
cloud_BL-01b_attempts1.collected #246: coded code=p20
cloud_BL-01b_attempts1.collected #247: coded code=p20
cloud_BL-01b_attempts1.collected #249: coded code=p20
cloud_BL-01b_attempts1.collected #171: coded code=p20
GRADED cloud_BL-01b_attempts1.collected: +250 (total 250)
=== grading cloud_BL-01b_attempts1_noask.collected
cloud_BL-01b_attempts1_noask.collected #0: coded code=p20
cloud_BL-01b_attempts1_noask.collected #8: coded code=p20
cloud_BL-01b_attempts1_noask.collected #12: coded code=p20
cloud_BL-01b_attempts1_noask.collected #14: no-program code=None
cloud_BL-01b_attempts1_noask.collected #23: coded code=p20
cloud_BL-01b_attempts1_noask.collected #22: non-runnable code=None
cloud_BL-01b_attempts1_noask.collected #31: coded code=p20
cloud_BL-01b_attempts1_noask.collected #32: coded code=p20
cloud_BL-01b_attempts1_noask.collected #30: coded code=p20
cloud_BL-01b_attempts1_noask.collected #33: no-program code=None
cloud_BL-01b_attempts1_noask.collected #47: coded code=p20
cloud_BL-01b_attempts1_noask.collected #49: coded code=p200
cloud_BL-01b_attempts1_noask.collected #50: coded code=p20
cloud_BL-01b_attempts1_noask.collected #51: no-program code=None
cloud_BL-01b_attempts1_noask.collected #75: non-runnable code=None
cloud_BL-01b_attempts1_noask.collected #76: coded code=p20
cloud_BL-01b_attempts1_noask.collected #74: coded code=p20
cloud_BL-01b_attempts1_noask.collected #79: coded code=p20
cloud_BL-01b_attempts1_noask.collected #39: coded code=p20
cloud_BL-01b_attempts1_noask.collected #40: coded code=p20
cloud_BL-01b_attempts1_noask.collected #41: coded code=p20
cloud_BL-01b_attempts1_noask.collected #55: no-program code=None
cloud_BL-01b_attempts1_noask.collected #58: coded code=p20
cloud_BL-01b_attempts1_noask.collected #60: coded code=p20
cloud_BL-01b_attempts1_noask.collected #59: coded code=p200
cloud_BL-01b_attempts1_noask.collected #61: no-program code=None
cloud_BL-01b_attempts1_noask.collected #1: coded code=p20
cloud_BL-01b_attempts1_noask.collected #4: coded code=p20
cloud_BL-01b_attempts1_noask.collected #3: no-program code=None
cloud_BL-01b_attempts1_noask.collected #28: coded code=p20
cloud_BL-01b_attempts1_noask.collected #27: coded code=p20
cloud_BL-01b_attempts1_noask.collected #21: coded code=p20
cloud_BL-01b_attempts1_noask.collected #20: coded code=p20
cloud_BL-01b_attempts1_noask.collected #42: coded code=p20
cloud_BL-01b_attempts1_noask.collected #43: no-program code=None
cloud_BL-01b_attempts1_noask.collected #45: non-runnable code=None
cloud_BL-01b_attempts1_noask.collected #44: coded code=p20
cloud_BL-01b_attempts1_noask.collected #64: coded code=p20
cloud_BL-01b_attempts1_noask.collected #67: no-program code=None
cloud_BL-01b_attempts1_noask.collected #66: coded code=p20
cloud_BL-01b_attempts1_noask.collected #68: no-program code=None
cloud_BL-01b_attempts1_noask.collected #2: coded code=other
cloud_BL-01b_attempts1_noask.collected #5: coded code=p20
cloud_BL-01b_attempts1_noask.collected #7: coded code=p20
cloud_BL-01b_attempts1_noask.collected #6: coded code=p20
cloud_BL-01b_attempts1_noask.collected #9: coded code=p20
cloud_BL-01b_attempts1_noask.collected #11: coded code=p20
cloud_BL-01b_attempts1_noask.collected #10: coded code=p20
cloud_BL-01b_attempts1_noask.collected #13: coded code=p20
cloud_BL-01b_attempts1_noask.collected #15: coded code=p20
cloud_BL-01b_attempts1_noask.collected #16: coded code=p20
cloud_BL-01b_attempts1_noask.collected #17: coded code=p20
cloud_BL-01b_attempts1_noask.collected #18: no-program code=None
cloud_BL-01b_attempts1_noask.collected #26: coded code=p20
cloud_BL-01b_attempts1_noask.collected #29: coded code=p20
cloud_BL-01b_attempts1_noask.collected #46: coded code=p20
cloud_BL-01b_attempts1_noask.collected #48: coded code=p20
cloud_BL-01b_attempts1_noask.collected #53: no-program code=None
cloud_BL-01b_attempts1_noask.collected #24: coded code=p20
cloud_BL-01b_attempts1_noask.collected #25: coded code=p20
cloud_BL-01b_attempts1_noask.collected #52: coded code=p20
cloud_BL-01b_attempts1_noask.collected #54: coded code=p20
cloud_BL-01b_attempts1_noask.collected #65: coded code=p20
cloud_BL-01b_attempts1_noask.collected #69: coded code=p20
cloud_BL-01b_attempts1_noask.collected #70: coded code=p20
cloud_BL-01b_attempts1_noask.collected #72: coded code=p20
cloud_BL-01b_attempts1_noask.collected #19: no-program code=None
cloud_BL-01b_attempts1_noask.collected #71: coded code=p20
cloud_BL-01b_attempts1_noask.collected #73: coded code=p20
cloud_BL-01b_attempts1_noask.collected #57: coded code=p20
cloud_BL-01b_attempts1_noask.collected #56: no-program code=None
cloud_BL-01b_attempts1_noask.collected #62: coded code=p20
cloud_BL-01b_attempts1_noask.collected #63: coded code=p20
cloud_BL-01b_attempts1_noask.collected #77: non-runnable code=None
cloud_BL-01b_attempts1_noask.collected #78: coded code=p20
cloud_BL-01b_attempts1_noask.collected #35: coded code=p20
cloud_BL-01b_attempts1_noask.collected #34: coded code=p20
cloud_BL-01b_attempts1_noask.collected #36: coded code=p20
cloud_BL-01b_attempts1_noask.collected #37: coded code=p20
cloud_BL-01b_attempts1_noask.collected #38: coded code=p20
GRADED cloud_BL-01b_attempts1_noask.collected: +80 (total 80)
=== grading cloud_BL-01b_attempts2.collected
cloud_BL-01b_attempts2.collected #6: coded code=p20
cloud_BL-01b_attempts2.collected #7: coded code=p20
cloud_BL-01b_attempts2.collected #8: coded code=p20
cloud_BL-01b_attempts2.collected #9: coded code=p20
cloud_BL-01b_attempts2.collected #10: no-program code=None
cloud_BL-01b_attempts2.collected #20: no-program code=None
cloud_BL-01b_attempts2.collected #21: coded code=p20
cloud_BL-01b_attempts2.collected #19: coded code=p20
cloud_BL-01b_attempts2.collected #26: coded code=p20
cloud_BL-01b_attempts2.collected #27: non-runnable code=None
cloud_BL-01b_attempts2.collected #28: no-program code=None
cloud_BL-01b_attempts2.collected #29: coded code=p20
cloud_BL-01b_attempts2.collected #3: coded code=p20
cloud_BL-01b_attempts2.collected #24: coded code=p20
cloud_BL-01b_attempts2.collected #4: no-program code=None
cloud_BL-01b_attempts2.collected #25: coded code=p200
cloud_BL-01b_attempts2.collected #0: non-runnable code=None
cloud_BL-01b_attempts2.collected #2: coded code=p20
cloud_BL-01b_attempts2.collected #1: coded code=p20
cloud_BL-01b_attempts2.collected #11: coded code=p20
cloud_BL-01b_attempts2.collected #12: coded code=p20
cloud_BL-01b_attempts2.collected #13: coded code=p20
cloud_BL-01b_attempts2.collected #15: coded code=p20
cloud_BL-01b_attempts2.collected #14: no-program code=None
cloud_BL-01b_attempts2.collected #22: non-runnable code=None
cloud_BL-01b_attempts2.collected #23: coded code=p20
cloud_BL-01b_attempts2.collected #5: coded code=p20
cloud_BL-01b_attempts2.collected #16: no-program code=None
cloud_BL-01b_attempts2.collected #17: non-runnable code=None
cloud_BL-01b_attempts2.collected #18: non-runnable code=None
GRADED cloud_BL-01b_attempts2.collected: +30 (total 30)
=== grading cloud_BL-01b_attempts4.collected
cloud_BL-01b_attempts4.collected #4: non-runnable code=None
